"CLIENT_ID","NAME","EMAIL","AGE","TYPE","ACCOUNT_ID","STATE_NAME","REGION","DIVISION","CARD_TYPE","ACTIVE_YEARS","ACTIVE_MONTHS","LOAN_AMOUNT","LOAN_DURATION","LOAN_PAYEMENTS","LOAN_STATUS","CRMEVENT_COUNT","E_MAIL","FAX","PHONE","REFERRAL","WEB","POSTAL_MAIL","CLOSED","CLOSED_WITH_EXPLANATION","CLOSED_WITH_MONETARY_RELIEF","CLOSED_WITH_RELIEF","CLOSED_WITHOUT_RELIEF","IN_PROGRESS","UNTIMELY_RESPONSE","TRANS_COUNT","TOTAL_BALANCE","AVG_ANNUAL_INCOME","AVG_MONTHLY_INCOME","CLIENT_CATERGORY","TOTAL_PAYMENTS","HOUSEHOLD_PAYMENT","INSURANCE_PAYMENT","LEASING_PAYMENT","LOAN_PAYMENT","OTHER_PAYMENTS","SEX"
"C00000001","Emma Avaya Smith","emma.smith@gmail.com",29,"Owner","A00000001","New Mexico","West","Mountain","No Card",4,55,0,0,0,"No Loan",5,0,0,1,1,3,0,0,2,0,1,0,0,0,239,1332479,333119.75,24226.89,"High Income",2452,2452,0,0,0,0,"Female"
"C00000002","Noah Everest Thompson","noah.thompson@gmail.com",54,"Owner","A00000002","New York","Northeast","Middle Atlantic","No Card",6,80,80952,24,3373,"A",1,0,0,0,0,1,0,0,1,0,0,0,0,0,478,6083644,1013940.67,76045.55,"High Networth",10638.7,7266,0,0,3372.7,0,"Male"
"C00000003","Olivia Brooklynne Johnson","olivia.johnson@outlook.com",59,"User","A00000002","New York","Northeast","Middle Atlantic","No Card",6,80,80952,24,3373,"A",3,0,0,0,1,2,0,0,1,1,0,1,0,0,478,6083644,1013940.67,76045.55,"High Networth",10638.7,7266,0,0,3372.7,0,"Female"
"C00000004","Liam Irvin White","liam.white@gmail.com",43,"Owner","A00000003","Indiana","Northeast","East North Central","No Card",2,27,0,0,0,"No Loan",3,0,0,1,1,1,0,0,3,0,0,0,0,0,117,1002172,501086,37117.48,"High Networth",5001,1135,3539,0,0,327,"Male"
"C00000005","Sophia Danae Williams","sophia.williams@gmail.com",39,"User","A00000003","Indiana","Northeast","East North Central","No Card",2,27,0,0,0,"No Loan",5,0,0,1,2,2,0,0,4,1,0,0,0,0,117,1002172,501086,37117.48,"High Networth",5001,1135,3539,0,0,327,"Female"
"C00000006","Mason Javen Lopez","mason.lopez7@gmail.com",80,"Owner","A00000004","Oregon","West","Pacific","No Card",3,44,0,0,0,"No Loan",5,0,0,2,0,2,1,0,4,1,0,0,0,0,186,2067697,689232.33,46993.11,"High Networth",3363,3363,0,0,0,0,"Male"
"C00000007","Jacob Khai Lee","jacob.lee7@gmail.com",71,"Owner","A00000005","Kentucky","South","East South Central","No Card",2,29,0,0,0,"No Loan",3,0,0,2,0,1,0,0,2,1,0,0,0,0,84,798121,399060.5,27521.41,"High Income",2668,2668,0,0,0,0,"Male"
"C00000008","Ava Eliora Brown","ava.brown8@gmail.com",61,"Owner","A00000006","Massachusetts","Northeast","New England","No Card",5,61,0,0,0,"No Loan",3,0,0,0,0,3,0,0,3,0,0,0,0,0,246,3570760,714152,58537.05,"High Income",3954,3954,0,0,0,0,"Female"
"C00000009","William Marek Gonzalez","william.marek.gonzalez@gmail.com",64,"Owner","A00000007","Massachusetts","Northeast","New England","VISA Infinite",2,35,0,0,0,"No Loan",6,0,0,1,2,3,0,0,4,0,0,0,0,0,130,1198787,599393.5,34251.06,"High Income",4880,4880,0,0,0,0,"Male"
"C00000010","Ethan Veer Harris","ethan.harris9@gmail.com",56,"Owner","A00000008","Massachusetts","Northeast","New England","No Card",4,49,0,0,0,"No Loan",7,0,0,0,3,3,1,0,4,3,0,0,0,0,254,3226534,806633.5,65847.63,"High Networth",9324,2612,0,0,0,6712,"Male"
